40;495;"{""name"":""Dunbarton Mi Querida Gordita"",""artikul_number"":""595"",""price_per_piece"":""890"",""pieces"":""20"",""package_price"":""178.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:02:39";595;595;02.06.2020
41;496;"{""name"":""Dunbarton Mi Querida Fino Largo"",""artikul_number"":""596"",""price_per_piece"":""1090"",""pieces"":""20"",""package_price"":""218.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:10:22";596;596;02.06.2020
42;497;"{""name"":""Dunbarton Mi Querida Ancho Corto"",""artikul_number"":""597"",""price_per_piece"":""1040"",""pieces"":""20"",""package_price"":""208.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:10:39";597;597;02.06.2020
43;498;"{""name"":""Dunbarton Mi Querida Ancho Largo"",""artikul_number"":""598"",""price_per_piece"":""1090"",""pieces"":""20"",""package_price"":""218.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:10:54";598;598;02.06.2020
44;499;"{""name"":""Dunbarton Mi Querida Muy Gordo Grande"",""artikul_number"":""599"",""price_per_piece"":""1190"",""pieces"":""20"",""package_price"":""238.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:11:18";599;599;02.06.2020
45;500;"{""name"":""Dunbarton Umbagog Corona Gorda"",""artikul_number"":""600"",""price_per_piece"":""820"",""pieces"":""10"",""package_price"":""82.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:11:34";600;600;02.06.2020
46;501;"{""name"":""Dunbarton Umbagog Robusto Plus"",""artikul_number"":""601"",""price_per_piece"":""840"",""pieces"":""10"",""package_price"":""84.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:11:57";601;601;02.06.2020
47;502;"{""name"":""Dunbarton Umbagog Toro Toro"",""artikul_number"":""602"",""price_per_piece"":""870"",""pieces"":""10"",""package_price"":""87.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:12:12";602;602;02.06.2020
48;503;"{""name"":""Dunbarton Umbagog Gordo Gordo"",""artikul_number"":""603"",""price_per_piece"":""940"",""pieces"":""10"",""package_price"":""94.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:12:35";603;603;02.06.2020
49;460;"{""name"":""La Rosa de Sandiego Clasico Robusto"",""artikul_number"":""560"",""price_per_piece"":""580"",""pieces"":""20"",""package_price"":""116.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:13:36";560;560;27.05.2020
50;461;"{""name"":""La Rosa de Sandiego Clasico Toro Gordo"",""artikul_number"":""561"",""price_per_piece"":""620"",""pieces"":""20"",""package_price"":""124.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:13:59";561;561;27.05.2020
51;462;"{""name"":""La Rosa de Sandiego Clasico Inmenso"",""artikul_number"":""562"",""price_per_piece"":""660"",""pieces"":""20"",""package_price"":""132.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:14:15";562;562;27.05.2020
52;463;"{""name"":""La Rosa de Sandiego Clasico Gigante"",""artikul_number"":""563"",""price_per_piece"":""800"",""pieces"":""10"",""package_price"":""80.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:14:33";563;563;27.05.2020
53;464;"{""name"":""La Rosa de Sandiego Maduro Robusto"",""artikul_number"":""564"",""price_per_piece"":""580"",""pieces"":""20"",""package_price"":""116.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:18:06";564;564;17.06.2020
54;464;"{""name"":""La Rosa de Sandiego Maduro Robusto"",""artikul_number"":""564"",""price_per_piece"":""580"",""pieces"":""20"",""package_price"":""116.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:19:59";564;564;27.05.2020
55;465;"{""name"":""La Rosa de Sandiego Maduro Toro Gordo"",""artikul_number"":""565"",""price_per_piece"":""620"",""pieces"":""20"",""package_price"":""124.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:24:04";565;565;27.05.2020
56;466;"{""name"":""La Rosa de Sandiego Maduro Inmenso"",""artikul_number"":""566"",""price_per_piece"":""660"",""pieces"":""20"",""package_price"":""132.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:24:34";566;566;27.05.2020
57;467;"{""name"":""La Rosa de Sandiego Maduro Gigante"",""artikul_number"":""567"",""price_per_piece"":""800"",""pieces"":""10"",""package_price"":""80.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:25:13";567;567;27.05.2020
58;468;"{""name"":""La Rosa de Sandiego Connecticut Robusto"",""artikul_number"":""568"",""price_per_piece"":""580"",""pieces"":""20"",""package_price"":""116.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:25:40";568;568;27.05.2020
59;469;"{""name"":""La Rosa de Sandiego Connecticut Toro Gordo"",""artikul_number"":""569"",""price_per_piece"":""620"",""pieces"":""20"",""package_price"":""124.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:25:57";569;569;27.05.2020
60;470;"{""name"":""La Rosa de Sandiego Connecticut Inmenso"",""artikul_number"":""570"",""price_per_piece"":""660"",""pieces"":""20"",""package_price"":""132.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:26:18";570;570;27.05.2020
61;471;"{""name"":""La Rosa de Sandiego Connecticut Gigante"",""artikul_number"":""571"",""price_per_piece"":""800"",""pieces"":""10"",""package_price"":""80.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:26:38";571;571;27.05.2020
62;115;"{""name"":""BTQ Batch 1 Robusto"",""artikul_number"":""127"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:28:20";127;127;27.05.2020
63;116;"{""name"":""BTQ Batch 1 Robusto Gordo"",""artikul_number"":""128"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:28:45";128;128;27.05.2020
64;117;"{""name"":""BTQ Batch 1 Toro"",""artikul_number"":""129"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:29:06";129;129;27.05.2020
65;118;"{""name"":""BTQ Batch 1  6 x 60"",""artikul_number"":""130"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:29:26";130;130;27.05.2020
66;119;"{""name"":""BTQ Batch 1 Churchill"",""artikul_number"":""131"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:29:56";131;131;27.05.2020
67;120;"{""name"":""BTQ Batch 2 Robusto"",""artikul_number"":""132"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:30:25";132;132;27.05.2020
68;121;"{""name"":""BTQ Batch 2 Robusto Gordo"",""artikul_number"":""133"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:30:44";133;133;27.05.2020
69;122;"{""name"":""BTQ Batch 2 Toro"",""artikul_number"":""134"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:31:06";134;134;27.05.2020
70;123;"{""name"":""BTQ Batch 2 6 x 60"",""artikul_number"":""135"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:31:20";135;135;27.05.2020
71;124;"{""name"":""BTQ Batch 2 Churchill"",""artikul_number"":""136"",""price_per_piece"":""250"",""pieces"":""20"",""package_price"":""50.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:31:37";136;136;27.05.2020
72;318;"{""name"":""DBL Sampler Pack"",""artikul_number"":""338"",""price_per_piece"":""700"",""pieces"":""5"",""package_price"":""35.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:34:06";338;338;21.04.2020
73;319;"{""name"":""DBL Lancero"",""artikul_number"":""339"",""price_per_piece"":""520"",""pieces"":""21"",""package_price"":""109.20"",""status"":""active"",""state"":""new""}";"2020-11-26 10:35:47";339;339;21.04.2020
74;306;"{""name"":""DBL Formula Petit Corona"",""artikul_number"":""326"",""price_per_piece"":""540"",""pieces"":""18"",""package_price"":""97.20"",""status"":""active"",""state"":""new""}";"2020-11-26 10:36:49";326;326;15.01.2020
75;307;"{""name"":""DBL Formula Belicoso BP"",""artikul_number"":""327"",""price_per_piece"":""780"",""pieces"":""18"",""package_price"":""140.40"",""status"":""active"",""state"":""new""}";"2020-11-26 10:37:26";327;327;15.01.2020
76;308;"{""name"":""DBL Formula Toro"",""artikul_number"":""328"",""price_per_piece"":""820"",""pieces"":""18"",""package_price"":""147.60"",""status"":""active"",""state"":""new""}";"2020-11-26 10:37:56";328;328;15.01.2020
77;309;"{""name"":""DBL Formula Gorda"",""artikul_number"":""329"",""price_per_piece"":""850"",""pieces"":""18"",""package_price"":""153.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:38:28";329;329;15.01.2020
78;459;"{""name"":""ADVentura The Conqueror Emperor's Edition"",""artikul_number"":""559"",""price_per_piece"":""1090"",""pieces"":""20"",""package_price"":""218.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:39:22";559;559;21.11.2019
79;458;"{""name"":""Brun del R\u00e9 1787 Rain Forest Long Robusto"",""artikul_number"":""558"",""price_per_piece"":""880"",""pieces"":""10"",""package_price"":""88.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:40:40";558;558;14.11.2019
80;319;"{""name"":""DBL Lancero"",""artikul_number"":""339"",""price_per_piece"":""720"",""pieces"":""21"",""package_price"":""151.20"",""status"":""active"",""state"":""new""}";"2020-11-26 10:47:35";339;339;11.11.2019
81;456;"{""name"":""ADVentura The Navigator Magellan Toro"",""artikul_number"":""556"",""price_per_piece"":""970"",""pieces"":""21"",""package_price"":""203.70"",""status"":""active"",""state"":""new""}";"2020-11-26 10:48:26";556;556;11.11.2019
