"id";"product_id";"data";"created_at";"updated_at"
"29";"484";"{""old"":{""id"":""484"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""484"",""current_number"":""584"",""name"":""Dunbarton Sobremesa Br\u00fbl\u00e9e Robusto"",""artikul_number"":""584"",""price_per_piece"":""1240"",""pieces"":""13"",""package_price"":""161.20"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:55:22";"2020-11-26 10:55:22"
"30";"485";"{""old"":{""id"":""485"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""485"",""current_number"":""585"",""name"":""Dunbarton Sobremesa Br\u00fbl\u00e9e Toro"",""artikul_number"":""585"",""price_per_piece"":""1340"",""pieces"":""13"",""package_price"":""174.20"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:55:42";"2020-11-26 10:55:42"
"31";"486";"{""old"":{""id"":""486"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""486"",""current_number"":""586"",""name"":""Dunbarton Sobremesa Br\u00fbl\u00e9e Gordo"",""artikul_number"":""586"",""price_per_piece"":""1390"",""pieces"":""13"",""package_price"":""180.70"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:56:04";"2020-11-26 10:56:04"
"32";"487";"{""old"":{""id"":""487"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""487"",""current_number"":""587"",""name"":""Dunbarton Sobremesa Corona Grande"",""artikul_number"":""587"",""price_per_piece"":""990"",""pieces"":""25"",""package_price"":""247.50"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:56:35";"2020-11-26 10:56:35"
"33";"488";"{""old"":{""id"":""488"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""488"",""current_number"":""588"",""name"":""Dunbarton Sobremesa Cervantes Fino"",""artikul_number"":""588"",""price_per_piece"":""1140"",""pieces"":""25"",""package_price"":""285.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:57:42";"2020-11-26 10:57:42"
"34";"489";"{""old"":{""id"":""489"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""489"",""current_number"":""589"",""name"":""Dunbarton Sobremesa Robusto Largo"",""artikul_number"":""589"",""price_per_piece"":""1160"",""pieces"":""25"",""package_price"":""290.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:57:57";"2020-11-26 10:57:57"
"35";"490";"{""old"":{""id"":""490"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""490"",""current_number"":""590"",""name"":""Dunbarton Sobremesa El Americano"",""artikul_number"":""590"",""price_per_piece"":""1240"",""pieces"":""25"",""package_price"":""310.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:58:22";"2020-11-26 10:58:22"
"36";"491";"{""old"":{""id"":""491"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""491"",""current_number"":""591"",""name"":""Dunbarton Sobremesa Torpedo Tiempo"",""artikul_number"":""591"",""price_per_piece"":""1300"",""pieces"":""25"",""package_price"":""325.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:58:52";"2020-11-26 10:58:52"
"37";"492";"{""old"":{""id"":""492"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""492"",""current_number"":""592"",""name"":""Dunbarton Sobremesa Gran Imperiales"",""artikul_number"":""592"",""price_per_piece"":""1340"",""pieces"":""25"",""package_price"":""335.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:59:21";"2020-11-26 10:59:21"
"38";"493";"{""old"":{""id"":""493"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""493"",""current_number"":""593"",""name"":""Dunbarton Sobremesa Short Churchill"",""artikul_number"":""593"",""price_per_piece"":""1120"",""pieces"":""14"",""package_price"":""156.80"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:59:43";"2020-11-26 10:59:43"
"39";"494";"{""old"":{""id"":""494"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""494"",""current_number"":""594"",""name"":""Dunbarton Sobremesa Elegante en Cedros"",""artikul_number"":""594"",""price_per_piece"":""1440"",""pieces"":""13"",""package_price"":""187.20"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:02:24";"2020-11-26 11:02:24"
"40";"495";"{""old"":{""id"":""495"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""495"",""current_number"":""595"",""name"":""Dunbarton Mi Querida Gordita"",""artikul_number"":""595"",""price_per_piece"":""890"",""pieces"":""20"",""package_price"":""178.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:02:39";"2020-11-26 11:02:39"
